gene,WT1,WT2,F71Y1,F71Y2,R61K1,R61K2,R61H1,R61H2,null1,null2
BSU00310_holB_DNA_polymerase_III_subunit_delta',3144,5051,4265,5296,2564,4792,2445,4922,2695,4183
BSU00320_yaaT_hypothetical_protein,4422,6473,5324,6432,3507,5958,3429,6847,4279,5617
BSU00330_yabA_DNA_replication_intiation_control_protein_YabA,1344,2228,1948,2262,1107,2182,1090,2342,1296,1836
BSU00340_yabB_methyltransferase,1035,1484,1208,1494,859,1411,782,1525,937,1282
BSU00350_yazA_GIY-YIG_nuclease_superfamily_protein,359,852,618,1011,286,818,258,827,292,669
BSU00360_yabC_methyltransferase,1217,1539,1336,1811,885,1557,875,1735,959,1440
BSU00370_abrB_transcriptional_regulator,3218,6526,6380,6556,2616,7037,2304,6804,2998,5316
BSU00380_metS_methionyl-tRNA_synthetase,6847,10318,9364,10365,5436,10296,5532,11116,5932,9105
BSU00390_yabD_metal-dependent_DNase,698,1127,983,1219,537,1099,517,1257,595,1114
BSU00400_yabE_cell_wall_shaping_enzyme,5598,10765,10435,11104,4700,11602,4570,12574,4710,9959
BSU00410_rnmV_ribonuclease_M5,946,1223,1005,1141,692,1252,647,1077,588,921
BSU00420_ksgA_dimethyladenosine_transferase,1983,2699,2425,2540,1666,2430,1532,2616,1532,2015
BSU00430_yabG_sporulation-specific_protease,39,57,45,61,48,66,26,41,35,31
BSU00440_veg_hypothetical_protein,4959,5260,5398,5188,4065,5560,4762,6134,4807,4351
BSU00450_sspF_small_acid-soluble_spore_protein,40,21,14,13,32,12,24,14,23,5
BSU00460_ipk_4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase,2924,3401,3187,3310,2112,3361,2073,3250,2269,2971
BSU00470_purR_pur_operon_repressor,8117,10638,8513,9370,5308,9233,4816,8725,5631,7744
BSU00480_yabJ_hypothetical_protein,3457,6032,5921,5912,2513,5619,2227,5949,2560,4431
BSU00490_spoVG_regulatory_protein_SpoVG,14707,17409,16541,13256,7208,15382,7729,18301,10453,16217
BSU00500_glmU_bifunctional_N-acetylglucosamine-1-phosphate_uridyltransferase/glucosamine-1-phosphate_acetyltransferase,10822,19497,15369,19054,7262,17823,6780,17186,7060,13313
BSU00510_prs_ribose-phosphate_pyrophosphokinase,9294,11315,8956,10665,6168,10246,5963,9878,6042,7705
BSU00520_ctc_50S_ribosomal_protein_L25,6654,6796,6132,7257,4658,6034,5058,6493,5356,4558
BSU00530_pth_peptidyl-tRNA_hydrolase,1356,2088,1635,2019,1071,1773,1050,2037,1199,1564
BSU00540_yabK_hypothetical_protein,512,931,713,937,413,986,429,974,453,856
BSU00550_mfd_transcription-repair_coupling_factor,6748,8618,6876,8250,5069,8035,4788,8286,5108,6409
BSU00560_spoVT_transcriptional_regulator,1063,1111,908,1242,797,994,769,1084,836,803
BSU00570_yabM_exporter,1154,1187,1066,1366,1012,1249,905,1059,740,804
BSU00580_yabN_fusion_methylase_and_nucleotide_pyrophosphohydrolase,2047,3081,2444,3191,1480,2852,1406,2792,1369,2083
BSU00590_yabO_ribosomal_RNA_binding_protein;_heat_shock_protein,402,1015,750,1004,324,906,337,911,301,736
BSU00600_yabP_spore_protein,449,883,650,837,356,745,261,715,302,600
BSU00610_yabQ_membrane_protein_of_the_forespore,1903,3470,2907,3316,1271,3040,1229,3091,1339,2537
BSU00620_divIC_cell-division_initiation_protein,2972,6918,5329,6441,2090,6165,1985,6010,2111,5446
BSU00630_yabR_hypothetical_protein,8414,14559,13350,13478,5487,12859,5323,14292,6087,10044
BSU00640_spoIIE_serine_phosphatase,654,823,576,782,661,710,425,555,340,381
BSU00650_yabS_hypothetical_protein,381,563,414,458,361,422,282,422,292,368
BSU00660_yabT_serine/threonine-protein_kinase,148,147,133,143,176,139,118,141,118,98
BSU00670_tilS_tRNAile_lysidine_synthetase,6693,9587,7696,9998,5613,8769,5538,8867,5676,7562
BSU00680_hprT_hypoxanthine-guanine_phosphoribosyltransferase,4913,10345,7653,10196,3948,9221,3686,8451,3870,8173
BSU00690_ftsH_cell-division_protein_and_general_stress_protein,48853,50136,43072,47481,41296,44888,38806,45417,37099,36719
BSU00700_coaX_pantothenate_kinase,1711,2376,2233,2948,1307,2607,1226,2477,1185,1934
BSU00710_hslO_heat_shock_protein_33,2228,2722,2471,3002,1931,2577,1794,2948,1755,2039
BSU00720_yacD_protein_secretion_PrsA,897,1971,1632,2094,739,1976,627,2111,706,1489
BSU00730_cysK_cysteine_synthase,5597,6980,7912,7866,5435,9968,7560,9782,6946,8325
BSU00740_pabB_4-amino-4-deoxychorismate_synthase,1481,2158,1895,2542,1029,2112,1065,2304,1155,1867
BSU00750_pabA_para-aminobenzoate/anthranilate_synthase_glutamine_amidotransferase_component_II,1339,1737,1562,1974,1033,1838,914,1856,999,1399
BSU00760_pabC_4-amino-4-deoxychorismate_lyase,1644,2083,1670,2126,1188,1968,1071,1937,1153,1605
BSU00770_sul_dihydropteroate_synthase,2185,2208,1909,2186,1563,1983,1599,2170,1657,1735
BSU00780_folB_dihydroneopterin_aldolase,787,1023,860,1141,570,963,548,1053,622,876
"BSU00790_folK_7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",2315,2431,1895,2611,1783,2316,1654,2484,1728,1970
BSU00800_yazB_transcriptional_regulator,1266,2104,1507,2172,864,1982,890,1913,875,1623
BSU00810_dusB_tRNA-dihydrouridine_synthase_B,7204,10709,8915,10570,5479,9562,5039,10643,5426,8219
BSU00820_lysS_lysyl-tRNA_synthetase,11107,14728,12463,14066,8126,13178,7901,13887,8109,11091
BSU00830_ctsR_transcriptional_regulator,619,1757,1317,1944,496,1865,519,1784,523,1504
BSU00840_mcsA_activator_of_protein_kinase_McsB,933,1958,1598,2303,922,1932,847,1908,808,1631
BSU00850_mcsB_ATP:guanido_phosphotransferase,2397,3724,3013,4067,2083,3831,2053,3613,2064,3216
BSU00860_clpC_class_III_stress_response-related_ATPase,7480,10516,8988,11618,6969,11239,6735,10941,6891,9616
BSU00870_radA_DNA_repair_protein_RadA,2857,2763,2470,3417,2629,2883,2459,3020,2708,2540
BSU00880_yacK_DNA_integrity_scanning_protein_DisA,1718,2775,2268,3565,1567,2800,1421,2965,1564,2474
BSU00890_yacL_hypothetical_protein,2706,3816,3182,4978,2286,3831,2109,4035,2284,3636
BSU00900_ispD_2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase,1616,1613,1609,2167,1404,1598,1260,2231,1458,1389
"BSU00910_ispF_2-C-methyl-D-erythritol_2,4-cyclo_diphosphate_synthase",636,781,691,1072,476,843,360,790,440,723
BSU00920_gltX_glutamyl-tRNA_synthetase,12169,21005,15844,18790,8724,18861,8939,19450,9744,17620
BSU00930_cysE_serine_acetyltransferase,1069,1451,1278,1787,784,1393,922,1806,870,1316
BSU00940_cysS_cysteinyl-tRNA_synthetase,2691,3120,2835,3951,2101,3251,2299,3606,2197,2878
BSU00950_mrnC_ribonuclease_for_23S_RNA_maturation,716,1452,1335,1967,611,1525,666,2199,613,1394
BSU00960_rlmB_23S_rRNA_methyltransferase,1428,1777,1694,2331,1261,1727,1313,2219,1298,1732
BSU00970_yacP_ribonuclease_with_PIN_and_NYN_domains,720,1294,1027,1715,577,1285,590,1603,624,1130
BSU00980_sigH_RNA_polymerase_factor_sigma-70,3969,7055,5315,6504,2583,6565,2631,6669,2817,5972
BSU00990_rpmG_50S_ribosomal_protein_L33,1512,3372,2817,3058,1089,3389,1054,3016,1080,2612
BSU01000_secE_preprotein_translocase_subunit_SecE,919,1364,1252,1523,692,1562,596,1545,696,1065
BSU01010_nusG_transcription_antitermination_protein_NusG,3119,6791,5532,6511,2285,6288,1898,6033,2009,4766
BSU01020_rplK_50S_ribosomal_protein_L11,67384,81264,71056,73101,49666,78111,44885,67952,43226,57124
BSU01030_rplA_50S_ribosomal_protein_L1,51955,73155,60203,63140,37184,66100,32019,56044,30418,46375
BSU01040_rplJ_50S_ribosomal_protein_L10,69698,110153,84553,89084,49750,99261,42899,75384,40024,69619
BSU01050_rplL_50S_ribosomal_protein_L7/L12,51209,86766,73554,77113,36027,79440,31941,69550,30464,56032
BSU01060_ybxB_ribosomal_RNA_methyltransferase,1967,2611,1596,2340,1282,2314,1099,1831,951,1605
BSU01070_rpoB_DNA-directed_RNA_polymerase_subunit_beta,80097,87003,69280,88779,63278,83140,60522,82227,60569,67763
BSU01080_rpoC_DNA-directed_RNA_polymerase_subunit_beta',107464,106077,86630,105696,87358,101986,82795,102231,82795,83586
BSU01090_ybxF_ribosomal_protein_L7Ae-like,40818,76007,58048,75682,25989,67270,22801,64148,22515,49067
BSU01100_rpsL_30S_ribosomal_protein_S12,58849,51678,44632,54780,45781,48098,39488,46915,38289,34926
BSU01110_rpsG_30S_ribosomal_protein_S7,63143,87220,73234,90527,44153,77731,40114,83054,39105,57808
BSU01120_fusA_elongation_factor_G,309949,328717,265012,312644,216418,301998,197050,271477,189370,224416
BSU01130_tufA_elongation_factor_Tu,289172,273488,233244,238979,213742,251620,200091,237670,199566,199453
BSU01140_ybaC_proline_iminopeptidase,490,519,444,675,445,603,416,557,395,462
BSU01150_rpsJ_30S_ribosomal_protein_S10,27426,34774,27172,35381,20309,31166,16752,30395,15711,23995
BSU01160_rplC_50S_ribosomal_protein_L3,60343,83374,63963,83493,45535,75545,37903,70119,35303,56441
BSU01170_rplD_50S_ribosomal_protein_L4,55529,51099,37514,52843,41530,46806,36156,44067,32818,35365
BSU01180_rplW_50S_ribosomal_protein_L23,23151,43144,32139,47376,16282,38944,13697,38538,13152,30644
BSU01190_rplB_50S_ribosomal_protein_L2,95521,83937,72219,92806,79005,77992,67813,81919,61859,59538
BSU01200_rpsS_30S_ribosomal_protein_S19,24775,27957,22625,33355,20328,25209,17440,28119,14970,20634
BSU01210_rplV_50S_ribosomal_protein_L22,30545,18706,15538,22909,24518,17187,20094,20129,18733,13947
BSU01220_rpsC_30S_ribosomal_protein_S3,51863,50855,40027,60376,41739,45439,35184,50609,32665,37785
BSU01230_rplP_50S_ribosomal_protein_L16,30238,35898,25607,42705,23605,32570,19250,33913,18248,26649
BSU01240_rpmC_50S_ribosomal_protein_L29,16275,26073,18958,31899,12920,24427,10856,25088,9809,19867
BSU01250_rpsQ_30S_ribosomal_protein_S17,17200,26934,18209,32651,13530,24536,11459,25790,10341,19735
BSU01260_rplN_50S_ribosomal_protein_L14,32655,34902,25992,43059,25228,30843,21782,33907,19510,25848
BSU01270_rplX_50S_ribosomal_protein_L24,22462,28905,21291,39771,17795,26356,15172,30456,13465,21710
BSU01280_rplE_50S_ribosomal_protein_L5,43225,39274,28534,46626,34939,35121,29015,38442,26512,28180
BSU01290_rpsN_30S_ribosomal_protein_S14,14489,17120,12373,21204,10912,15311,9142,17369,8220,12139
BSU01300_rpsH_30S_ribosomal_protein_S8,31349,35628,27701,42681,23216,32850,20570,35204,18454,27573
BSU01310_rplF_50S_ribosomal_protein_L6,43079,40711,30803,49081,34615,37241,29082,38989,26348,30653
BSU01320_rplR_50S_ribosomal_protein_L18,34586,28190,21369,33670,27554,25271,23462,28817,21264,21134
BSU01330_rpsE_30S_ribosomal_protein_S5,41871,44185,33111,49373,32706,40346,28331,41027,25911,32528
BSU01340_rpmD_50S_ribosomal_protein_L30,12641,17132,12020,19287,9251,15311,8262,16554,7280,12343
BSU01350_rplO_50S_ribosomal_protein_L15,41762,49586,36100,55281,32959,45422,27862,45326,25715,37410
BSU01360_secY_preprotein_translocase_subunit_SecY,114335,92300,71933,103108,85455,87288,74246,84186,69980,70096
BSU01370_adk_adenylate_kinase,48366,63443,47666,75290,35242,58252,30150,60745,28881,48469
BSU01380_mapA_methionine_aminopeptidase,61686,67638,51196,77493,46498,61925,39825,64285,37471,48512
BSU01389_ybzG_ribosomal_protein,16360,21775,16333,26269,11598,19306,10009,20869,9409,16052
BSU01390_infA_translation_initiation_factor_IF-1,16761,28006,21770,33037,12895,24202,11064,27640,10433,19903
BSU01400_rpmJ_50S_ribosomal_protein_L36,7599,17982,12374,19930,5383,15352,4803,16439,4520,12455
BSU01410_rpsM_30S_ribosomal_protein_S13,31971,34862,26933,38227,23721,31264,20667,33097,20060,26114
BSU01420_rpsK_30S_ribosomal_protein_S11,41278,30534,21770,30265,31653,26530,28602,26026,26242,21554
BSU01430_rpoA_DNA-directed_RNA_polymerase_subunit_alpha,92913,149237,117656,157259,68381,131093,60429,139629,57496,107911
BSU01440_rplQ_50S_ribosomal_protein_L17,24332,25256,24233,28068,20196,24300,17205,26376,16418,18323
BSU01450_cbiO_cobalt_transporter_ATP-binding_subunit,2227,2344,1741,2763,1990,2319,1639,2233,1529,1602
BSU01460_cbiO_cobalt_transporter_ATP-binding_subunit,2782,3300,2539,3709,2569,3495,1989,2753,1682,2210
BSU01470_ybaF_permease,2925,3015,2304,3304,2721,3015,2027,2601,1877,1935
BSU01480_truA_tRNA_pseudouridine_synthase_A,9059,11339,10644,11858,7106,10718,5691,8664,4732,5660
BSU01490_rplM_50S_ribosomal_protein_L13,51940,52152,48816,52687,37077,49039,32975,47628,31086,36457
BSU01500_rpsI_30S_ribosomal_protein_S9,25334,17574,18781,18919,18760,18517,17286,17800,17220,12560
BSU01510_ybaJ_methyltransferase,1794,4346,4194,3840,1006,3856,991,3968,1159,3364
BSU01520_ybaK_alkylated_deoxynucleotide_triphosphohydrolase,26,34,30,35,24,44,26,34,19,18
BSU01530_cwlD_N-acetylmuramoyl-L-alanine_amidase,34,70,88,54,49,80,48,81,44,52
BSU01540_salA_Mrp_family_regulator,4283,8218,7663,7748,3113,7408,3090,9754,3959,6541
BSU01550_gerD_lipoprotein,11,32,26,36,13,51,12,40,9,29
BSU01560_kbaA_hypothetical_protein,309,373,290,383,274,371,210,517,279,335
BSU01570_ybaN_polysaccharide_deacetylase,11,10,7,8,15,5,3,8,1,11
BSU01580_ybaR_permease,2564,1903,1618,1975,2505,2044,2067,2066,2219,1597
BSU01590_ybaS_sodium_dependent_transporter,1021,1040,899,920,1028,902,874,1161,1015,842
BSU01600_ybbA_iron-chelator_esterase,57,28,12,22,21,17,13,16,11,9
BSU01610_feuC_iron-uptake_protein,115,45,19,32,37,33,41,26,34,31
BSU01620_feuB_iron-uptake_protein,84,36,19,22,34,10,31,29,18,18
BSU01630_feuA_iron_hydroxamate-binding_lipoprotein,144,84,33,70,18,45,21,49,20,43
BSU01640_ybbB_AraC_family_transcriptional_regulator,112,79,49,90,24,56,51,69,34,55
BSU01650_ybbC_hypothetical_protein,54,42,43,36,50,56,54,66,48,38
BSU01660_ybbD_beta-hexosaminidase,95,73,78,75,106,101,91,96,101,98
BSU01670_ybbE_hypothetical_protein,62,40,55,62,76,73,73,94,72,119
BSU01680_ybbF_sugar_phosphotransferase_enzyme_II,101,63,61,60,100,51,101,107,124,97
BSU01690_ybbH_transcriptional_regulator,196,124,147,154,156,158,187,244,251,189
BSU01700_murQ_N-acetylmuramic_acid_6-phosphate_etherase,427,250,377,399,437,378,444,591,594,412
BSU01710_ybbJ_acyltransferase,45,17,22,23,40,24,42,28,51,17
BSU01720_ybbK_hypothetical_protein,142,91,142,126,105,154,98,187,134,127
BSU01730_sigW_RNA_polymerase_sigma_factor_SigW,7491,10606,8082,9795,4725,9080,4462,8797,4742,7614
BSU01740_rsiW_anti-sigma(W)_factor,7798,10482,9257,9701,4926,9204,4914,9768,5149,7510
BSU01750_ybbP_hypothetical_protein,2529,2371,1841,2269,1927,2151,1808,2232,1824,1862
BSU01760_ybbR_hypothetical_protein,7175,10832,9199,10944,5807,9911,5177,11196,5349,8479
BSU01770_glmM_phosphoglucosamine_mutase,8614,10521,9028,9837,6390,9147,5794,10487,6296,7515
BSU01780_glmS_glucosamine--fructose-6-phosphate_aminotransferase,24868,24434,22607,20656,18989,22096,17796,22657,18685,17798
BSU01800_alkA_DNA-3-methyladenine_glycosylase,210,487,373,467,136,463,150,478,167,414
BSU01810_adaA_bifunctional_methylphosphotriester-DNA_alkyltransferase/transcriptional_regulator,19,45,42,42,15,48,16,43,14,31
BSU01820_adaB_O6-methylguanine-DNA_methyltransferase,45,51,61,59,19,63,33,50,28,55
BSU01830_ndhF_NADH_dehydrogenase_subunit_5,394,293,198,330,335,343,380,228,224,156
BSU01845_ybcC_hypothetical_protein,696,734,469,968,548,882,722,536,373,326
BSU01860_ybcF_carbonic_anhydrase,169,284,191,332,134,368,131,202,88,125
BSU01870_ybcH_hypothetical_protein,103,235,131,243,76,277,61,188,45,102
BSU01880_ybcI_hypothetical_protein,92,266,146,281,56,314,78,200,38,116
BSU01889_ybzH_ArsR_family_transcriptional_regulator,540,1178,1199,988,323,1116,368,1106,398,844
BSU01890_ybcL_efflux_transporter,315,174,195,177,278,177,293,258,256,127
BSU01900_ybcM_hypothetical_protein,7,3,10,10,11,4,4,4,4,6
BSU01910_skfA_sporulation_killing_factor_A,75,52,52,46,55,50,77,102,170,127
BSU01920_skfB_synthesis_of_sporulation_killing_factor_A,125,137,121,149,82,176,89,165,176,270
BSU01935_skfC_sporulation_killing_factor_biosynthesis_and_export,399,448,323,446,279,413,274,543,420,658
BSU01950_skfE_sporulation_killing_factor_biosynthesis_and_export;_ABC_transporter_binding_protein,286,434,320,390,207,427,226,492,293,588
BSU01960_skfF_sporulation_killing_factor_biosynthesis_and_export;_ABC_transporter_permease,407,381,239,321,299,297,272,342,374,411
BSU01970_skfG_sporulation_killing_factor_biosynthesis_and_export,192,253,168,234,108,194,131,295,177,229
BSU01980_skfH_sporulation_killing_factor,146,243,172,216,63,227,106,239,114,219
BSU01990_ybdG_hydrolase,182,295,196,286,135,288,96,270,132,210
BSU02000_ybdJ_two-component_response_regulator_YbdK,143,195,147,206,86,218,78,206,81,177
BSU02010_ybdK_two-component_sensor_histidine_kinase_YbdJ,173,271,208,347,155,277,109,285,152,224
BSU02019_ybzI_hypothetical_protein,612,1421,1721,1409,473,1651,506,1865,604,1158
BSU02030_ybdM_protein_kinase,174,225,215,201,147,225,133,269,157,223
BSU02040_ybdN_hypothetical_protein,155,152,145,128,77,115,76,156,75,142
BSU02050_ybdO_hypothetical_protein,112,180,181,204,98,168,81,230,79,148
BSU02060_ybxG_amino_acid_permease,3365,2485,2826,3089,3842,3372,2729,2988,2575,2091
BSU02070_csgA_sporulation-specific_SASP_protein,4,27,15,18,8,15,8,20,6,15
BSU02080_ybxH_hypothetical_protein,0,3,8,10,3,11,3,10,4,8
BSU02090_ybxI_beta-lactamase,146,193,179,200,101,155,108,227,126,179
BSU02100_cypC_fatty_acid_beta-hydroxylating_cytochrome_P450,58,44,45,110,60,48,52,87,81,49
BSU02110_ybyB_hypothetical_protein,58,52,54,155,105,81,94,78,170,60
BSU02120_ybeC_H+/amino_acid_transporter,5758,5683,9218,10088,10093,10629,8208,10201,7490,6976
BSU02130_glpQ_glycerophosphoryl_diester_phosphodiesterase,108,106,97,99,71,91,43,69,48,50
BSU02140_glpT_glycerol-3-phosphate_permease,109,67,58,83,84,86,46,47,47,33
BSU02150_ybeF_hypothetical_protein,24,12,16,19,9,9,10,14,9,4
BSU02160_ybfA_hypothetical_protein,177,371,3770,4676,3519,6787,3323,9165,1364,2511
BSU02170_ybfB_carboxylate_transporter,425,227,2601,2622,9313,4313,9475,6078,3612,1650
BSU02180_ybfE_hypothetical_protein,131,117,77,86,76,73,65,88,101,99
BSU02190_ybfF_hypothetical_protein,488,1252,648,800,259,906,240,778,321,856
BSU02200_ybfG_pepdidoglycan_binding_protein,587,741,709,605,449,774,636,1308,985,1270
BSU02210_ybfH_permease,214,158,125,152,190,159,186,156,219,141
BSU02220_ybfI_AraC_family_transcriptional_regulator,138,113,99,133,118,115,117,136,143,114
BSU02230_purT_phosphoribosylglycinamide_formyltransferase_2,2733,2446,3798,4142,2966,4016,3115,4129,3892,4079
BSU02240_mpr_extracellular_metalloprotease,426,577,1557,1570,1514,2095,2135,3577,2875,3588
BSU02250_ybfJ_lipoprotein,124,145,384,422,472,523,653,935,867,895
BSU02260_ybfK_carboxylesterase_NP,599,627,643,647,494,671,501,845,577,715
BSU02270_pssA_phosphatidylserine_synthase,2048,2150,1477,1612,1528,1478,1293,1744,1438,1331
BSU02280_ybfM_membrane_phosphatase,1487,2253,1737,2110,1118,1983,936,2040,1064,1620
BSU02290_psd_phosphatidylserine_decarboxylase,3052,2805,2476,2510,2308,2427,1933,2400,1984,2040
BSU02300_ybfN_hypothetical_protein,156,233,214,236,113,211,115,182,142,154
BSU02310_ybfO_hydrolase,441,546,303,372,227,351,203,383,194,288
BSU02320_ybfP_AraC_family_transcriptional_regulator,190,279,178,229,106,248,81,223,103,198
BSU02330_ybfQ_hypothetical_protein,2823,3727,3598,3793,2263,3922,2222,3638,2916,3813
BSU02340_gltP_proton/glutamate_symport_protein,223,119,74,84,119,106,146,119,181,108
BSU02350_nagP_PTS_system_glucosamine-specific_transporter_subunit_IICBA,1712,1089,872,1181,1676,1204,1375,1128,1220,672
BSU02360_nagBB_glucosamine-6-phosphate_isomerase,811,851,717,1031,898,1102,704,816,671,608
BSU02370_ybgA_GntR_family_transcriptional_regulator,408,713,512,622,238,584,243,647,257,479
BSU02380_ybgB_hypothetical_protein,110,57,47,78,67,80,79,87,89,97
BSU02390_ybgE_branched-chain_amino_acid_aminotransferase,202,234,1693,1643,3049,4228,11700,20463,31216,36306
BSU02400_ybgF_aminoacid_permease,1053,775,1630,1568,2917,2429,4419,3673,4499,3198
BSU02410_mmuM_homocysteine_methyltransferase,531,424,869,804,1021,1039,1012,1099,982,727
BSU02420_glnT_glutamine_transporter,22,17,12,9,26,19,17,11,18,13
BSU02430_ybgJ_glutaminase,7,9,4,7,18,11,8,5,6,8
BSU02440_glnJ_two-component_sensor_histidine_kinase_GlnL_for_glutamine_degradation,329,433,375,433,282,395,252,402,260,347
BSU02450_glnL_two-component_response_regulator_GlnJ_for_glutamine_utilisation,319,307,296,297,264,258,236,316,237,226
BSU02460_ycbC_5-dehydro-4-deoxyglucarate_dehydratase,43,28,32,47,54,54,38,62,47,41
"BSU02470_ycbD_2,5-dioxovalerate_dehydrogenase",45,53,68,60,80,78,78,98,83,77
BSU02480_gudP_glucarate_transporter,90,30,32,36,88,38,85,55,107,30
BSU02490_gudD_glucarate_dehydratase,21,20,20,36,41,48,48,82,60,33
BSU02500_ycbG_GntR_family_transcriptional_regulator,719,842,734,820,507,830,500,851,484,670
BSU02510_garD_D-galactarate_dehydratase,127,53,58,80,85,78,76,93,78,55
BSU02520_ycbJ_phosphotransferase,957,939,781,741,592,762,505,785,489,650
BSU02530_rtpA_anti-TRAP_regulator,63,236,150,230,21,176,32,223,35,125
BSU02540_ycbK_efflux_transporter,331,151,130,156,220,156,199,157,180,90
BSU02550_ycbL_two-component_response_regulator_YcbM,128,164,129,169,83,151,85,167,98,108
BSU02560_ycbM_two-component_sensor_histidine_kinase_YcbL,211,184,168,241,164,149,110,195,148,157
BSU02570_ycbN_ABC_transporter_ATP-binding_protein,427,639,464,535,287,501,262,576,287,452
BSU02580_ycbO_Na+-driven_exporter_or_maturation_protein,371,331,220,226,261,226,254,281,238,194
BSU02590_ycbP_inner_integral_membrane_protein,35,48,64,218,80,134,79,62,106,68
BSU02600_cwlJ_cell_wall_hydrolase,38,54,30,38,30,34,23,25,29,24
BSU02610_ycbR_hypothetical_protein,169,256,208,246,111,216,128,245,139,181
BSU02619_yczK_hypothetical_protein,0,5,2,6,1,5,1,4,3,1
BSU02620_phoD_phosphodiesterase/alkaline_phosphatase_D,49,60,25,39,44,42,42,44,39,31
BSU02630_tatAD_twin-arginine_pre-protein_translocation_pathway_protein,5,5,6,2,4,5,8,6,5,4
BSU02640_tatCD_twin-arginine_pre-protein_translocation_pathway_protein,18,5,2,7,13,7,9,9,7,3
BSU02650_pcp_pyrrolidone-carboxylate_peptidase,206,247,233,215,172,182,139,262,132,182
BSU02660_ycbU_cysteine_desulfurase,321,312,298,263,181,329,150,326,177,260
BSU02670_lmrB_efflux_transporter;_drug-export_protein,2460,1715,1337,1543,2204,1523,1668,1278,1648,959
BSU02680_lmrA_transcriptional_repressor,1112,1006,768,868,834,868,750,714,707,615
BSU02690_ansZ_L-asparaginase,95,92,107,113,63,89,60,106,74,70
BSU02700_estA_secreted_alkaliphilic_lipase,1139,1969,1667,1807,711,1803,761,2497,819,1992
BSU02710_yczC_hypothetical_protein,320,332,283,282,184,215,184,276,190,165
BSU02720_yccF_hypothetical_protein,3407,4092,4274,4416,2436,4076,2219,3756,2111,2740
BSU02730_natK_two-component_sensor_histidine_kinase_NatR,397,378,377,359,292,345,245,378,297,302
